Project Name,Project Type,Project Manager,Location,Department, Project Cost ,Complexity,Status,,Physical Completion%,Cost Completion %,Phase,Year,Start Date,End Date
MML-56,Installation,Ajay Kumar Agarwal,Dahisar - Kamraj Nagar,Track,"5,64,38,580.00",High,Cancelled,0.87,87,34,Phase 5 - Measure,2023,07-01-2023,07-01-2025
MML-57,Dynamic Testing,Vijay Sharma,Dahisar - Kamraj Nagar,Rolling Stock,"46,12,92,500.00",High,Cancelled,0.9,90,45,Phase 4 - Implement,2023,08-01-2023,08-01-2027
MML-58,Architecture,Y.N.Kapoor,Andheri-Bandra,Civil,"59,49,33,700.00",Medium,Cancelled,0.87,87,33,Phase 4 - Implement,2023,08-01-2023,08-01-2026
MML-59,Procurement,K.S.Gupta,Dahisar-Andheri,S&T,"25,11,18,900.00",High,On - Hold,0.91,91,38,Phase 5 - Measure,2023,09-01-2023,09-01-2027
MML-60,Installation,Ajay Kumar Agarwal,Dahisar-Andheri,Track,"2,74,52,870.00",High,On - Hold,0.78,78,42,Phase 2 - Develop,2023,09-01-2023,09-01-2025
MML-61,Procurement,K.S.Gupta,Kamraj Nagar - DN Nagar,S&T,"25,78,74,800.00",Low,On - Hold,0.91,91,46,Phase 5 - Measure,2023,09-01-2023,09-01-2027
MML-62,Dynamic Testing,Vijay Sharma,Dahisar - Kamraj Nagar,Rolling Stock,"28,06,51,200.00",Low,In - Progress,0.8,80,44,Phase 2 - Develop,2023,09-01-2023,09-01-2027
MML-63,Installation,K.S.Gupta,Dahisar - Kamraj Nagar,S&T,"32,61,24,900.00",High,Completed,1,100,35,Phase 2 - Develop,2023,11-01-2023,11-01-2027
MML-64,Girder Construction,Y.N.Kapoor,Dahisar - Kamraj Nagar,Civil,"51,56,29,100.00",High,Completed,1,100,45,Phase 5 - Measure,2023,11-01-2023,11-01-2026
MML-65,Testing and Commissioning,Shailja Dixit,Dahisar - Kamraj Nagar,Electrical,"3,01,40,530.00",Low,Completed,1,100,44,Phase 3 - Plan,2023,11-01-2023,11-01-2025
MML-66,Procurement,Shailja Dixit,Dahisar - Kamraj Nagar,Electrical,"4,56,95,040.00",Low,In - Progress,0.73,73,56,Phase 4 - Implement,2023,11-01-2023,11-01-2025
MML-67,Installation,Ajay Kumar Agarwal,Dahisar-Andheri,Track,"2,42,93,950.00",Low,In - Progress,0.74,74,63,Phase 1 - Explore,2023,12-01-2023,12-01-2025
MML-68,Installation,Shailja Dixit,Dahisar-Andheri,Electrical,"4,60,30,610.00",Medium,Completed,1,100,69,Phase 3 - Plan,2024,02-01-2024,02-01-2026
MML-69,Procurement,Shailja Dixit,Kamraj Nagar - DN Nagar,Electrical,"4,50,50,460.00",High,Cancelled,0.78,78,44,Phase 4 - Implement,2024,03-01-2024,03-01-2026
MML-70,Procurement,K.S.Gupta,Dahisar - Kamraj Nagar,S&T,"27,06,27,900.00",Medium,In - Progress,0.86,86,44,Phase 4 - Implement,2024,04-01-2024,04-01-2028
MML-71,Train Manufacturing,Vijay Sharma,Dahisar - Kamraj Nagar,Rolling Stock,"44,26,47,500.00",High,Cancelled,0.83,83,45,Phase 3 - Plan,2024,07-01-2024,07-01-2028
MML-72,Train Manufacturing,Vijay Sharma,Dahisar - Kamraj Nagar,Rolling Stock,"54,18,93,300.00",Medium,On - Hold,0.91,91,46,Phase 4 - Implement,2024,08-01-2024,08-01-2028
MML-73,Procurement,K.S.Gupta,Kamraj Nagar - DN Nagar,S&T,"32,42,64,700.00",Low,Completed,1,100,40,Phase 3 - Plan,2024,09-01-2024,09-01-2028
MML-74,Procurement,Shailja Dixit,Dahisar - Kamraj Nagar,Electrical,"2,41,83,010.00",High,Cancelled,0.75,75,50,Phase 4 - Implement,2024,09-01-2024,09-01-2026
MML-75,Procurement,K.S.Gupta,Dahisar - Kamraj Nagar,S&T,"42,58,44,000.00",Medium,In - Progress,0.85,85,57,Phase 1 - Explore,2024,10-01-2024,10-01-2028
MML-76,Finishing,Y.N.Kapoor,Kamraj Nagar - DN Nagar,Civil,"40,09,74,400.00",High,Cancelled,0.8,80,65,Phase 4 - Implement,2024,10-01-2024,10-01-2027
MML-77,Train Manufacturing,Vijay Sharma,Kamraj Nagar - DN Nagar,Rolling Stock,"54,61,75,600.00",Low,Cancelled,0.84,84,41,Phase 2 - Develop,2024,10-01-2024,10-01-2028
MML-78,Procurement,Ajay Kumar Agarwal,Dahisar - Kamraj Nagar,Track,"3,52,66,300.00",Medium,Completed,1,100,48,Phase 3 - Plan,2024,11-01-2024,11-01-2026
MML-79,Procurement,Ajay Kumar Agarwal,Dahisar - Kamraj Nagar,Track,"5,73,20,060.00",High,Completed,1,100,67,Phase 2 - Develop,2024,11-01-2024,11-01-2026
MML-80,Procurement,Ajay Kumar Agarwal,Dahisar-Andheri,Track,"2,78,14,080.00",Low,Cancelled,0.73,73,34,Phase 5 - Measure,2024,11-01-2024,11-01-2026
MML-81,Procurement,K.S.Gupta,Dahisar - Kamraj Nagar,S&T,"36,78,09,100.00",Medium,On - Hold,0.89,89,46,Phase 2 - Develop,2024,12-01-2024,12-01-2028
MML-82,Dynamic Testing,Vijay Sharma,Andheri-Bandra,Rolling Stock,"44,34,67,900.00",High,On - Hold,0.86,86,35,Phase 5 - Measure,2024,12-01-2024,12-01-2028
MML-83,Girder Construction,Y.N.Kapoor,Andheri-Bandra,Civil,"36,52,61,100.00",Low,Completed,1,100,56,Phase 5 - Measure,2024,12-01-2024,12-01-2027
MML-84,Train Manufacturing,Vijay Sharma,Andheri-Bandra,Rolling Stock,"29,06,57,200.00",High,Completed,1,100,68,Phase 5 - Measure,2025,01-01-2025,01-01-2029
MML-85,Procurement,Shailja Dixit,Andheri-Bandra,Electrical,"4,28,63,050.00",High,On - Hold,0.81,81,31,Phase 4 - Implement,2025,01-01-2025,01-01-2027
MML-86,Train Testing,Vijay Sharma,Andheri-Bandra,Rolling Stock,"51,50,36,600.00",Low,On - Hold,0.72,72,52,Phase 3 - Plan,2025,04-01-2025,04-01-2029
MML-87,Train Testing,Vijay Sharma,Dahisar - Kamraj Nagar,Rolling Stock,"56,20,82,200.00",High,Completed,1,100,48,Phase 5 - Measure,2025,04-01-2025,04-01-2029
MML-88,Procurement,Ajay Kumar Agarwal,Dahisar - Kamraj Nagar,Track,"3,68,55,800.00",Low,On - Hold,0.92,92,22,Phase 4 - Implement,2025,05-01-2025,05-01-2027
MML-89,Testing and Commissioning,Shailja Dixit,Andheri-Bandra,Electrical,"2,68,14,200.00",Medium,Completed,1,100,35,Phase 2 - Develop,2025,06-01-2025,06-01-2027
MML-90,Procurement,K.S.Gupta,Kamraj Nagar - DN Nagar,S&T,"48,05,05,600.00",High,Cancelled,0.79,79,32,Phase 5 - Measure,2025,06-01-2025,06-01-2029
MML-91,Procurement,K.S.Gupta,Andheri-Bandra,S&T,"26,93,47,100.00",Low,Completed,1,100,44,Phase 2 - Develop,2025,06-01-2025,06-01-2029
MML-92,Procurement,Ajay Kumar Agarwal,Dahisar-Andheri,Track,"5,88,06,100.00",High,Completed,1,100,58,Phase 5 - Measure,2025,07-01-2025,07-01-2027
MML-93,Dynamic Testing,Vijay Sharma,Dahisar-Andheri,Rolling Stock,"39,32,72,400.00",High,In - Progress,0.81,81,44,Phase 5 - Measure,2025,07-01-2025,07-01-2029
MML-94,Station Girder Construction,Y.N.Kapoor,Andheri-Bandra,Civil,"49,08,31,100.00",Medium,In - Progress,0.74,74,43,Phase 3 - Plan,2025,08-01-2025,08-01-2028
MML-95,Train Manufacturing,Vijay Sharma,Kamraj Nagar - DN Nagar,Rolling Stock,"52,59,43,600.00",Medium,On - Hold,0.8,80,52,Phase 2 - Develop,2025,08-01-2025,08-01-2029
MML-96,Procurement,K.S.Gupta,Dahisar - Kamraj Nagar,S&T,"47,90,41,700.00",Medium,In - Progress,0.73,73,41,Phase 4 - Implement,2025,09-01-2025,09-01-2029
MML-97,Dynamic Testing,Vijay Sharma,Andheri-Bandra,Rolling Stock,"42,83,48,100.00",Low,Completed,1,100,60,Phase 3 - Plan,2025,11-01-2025,11-01-2029
MML-98,Testing and Commissioning,Shailja Dixit,Dahisar-Andheri,Electrical,"4,60,65,750.00",High,In - Progress,0.77,77,34,Phase 4 - Implement,2025,11-01-2025,11-01-2027
MML-99,Procurement,Ajay Kumar Agarwal,Andheri-Bandra,Track,"5,05,44,820.00",High,In - Progress,0.83,83,23,Phase 3 - Plan,2025,12-01-2025,12-01-2027
